index,name,party
0,אביגדור ליברמן,ישראל ביתינו
1,איתן כבל,המחנה הציוני
2,סופה לנדבר,ישראל ביתינו
3,צחי הנגבי,הליכוד
4,ישראל כץ,הליכוד
5,ציפי לבני,המחנה הציוני
6,איוב קרא,הליכוד
7,יובל שטייניץ,הליכוד
8,סילבן שלום,הליכוד
9,דוד אזולאי,"ש""ס"
10,יצחק וקנין,"ש""ס"
11,משולם נהרי,"ש""ס"
12,אילן גילאון,מרצ
13,זהבה גלאון,מרצ
14,מוסי רז,מרצ
15,משה גפני,יהדות התורה
16,יעקב ליצמן,יהדות התורה
17,יולי יואל אדלשטיין,הליכוד
18,חיים כץ,הליכוד
19,עמיר פרץ,המחנה הציוני
20,אחמד טיבי,הרשימה המשותפת
21,מאיר פרוש,יהדות התורה
22,יצחק כהן,"ש""ס"
23,אורי אריאל,הבית היהודי
24,בנימין נתניהו,הליכוד
25,גילה גמליאל,הליכוד
26,משה כחלון,כולנו
27,גלעד ארדן,הליכוד
28,יצחק הרצוג,המחנה הציוני
29,יעקב מרגי,"ש""ס"
30,ישראל אייכלר,יהדות התורה
31,ג`מאל זחאלקה,הרשימה המשותפת
32,ניסן סלומינסקי,הבית היהודי
33,זאב בנימין בגין,הליכוד
34,אריה דרעי,"ש""ס"
35,יואל חסון,המחנה הציוני
36,אברהם דיכטר,הליכוד
37,זאב אלקין,הליכוד
38,שלי יחימוביץ`,המחנה הציוני
39,רוברט אילטוב,ישראל ביתינו
40,דב חנין,הרשימה המשותפת
41,יחיאל (חיליק) בר,המחנה הציוני
42,אלעזר שטרן,יש עתיד
43,אורי מקלב,יהדות התורה
44,אופיר אקוניס,הליכוד
45,חמד עמאר,ישראל ביתינו
46,דני דנון,הליכוד
47,מסעוד גנאים,הרשימה המשותפת
48,ציפי חוטובלי,הליכוד
49,יריב לוין,הליכוד
50,אורלי לוי אבקסיס,ישראל ביתינו
51,מנחם אליעזר מוזס,יהדות התורה
52,מירי רגב,הליכוד
53,נחמן שי,המחנה הציוני
54,רוברט טיבייב,המחנה הציוני
55,משה יעלון,הליכוד
56,חנין זועבי,הרשימה המשותפת
57,אכרם חסון,כולנו
58,נפתלי בנט,הבית היהודי
59,איילת שקד,הבית היהודי
60,אלי בן-דהן,הבית היהודי
61,מרדכי יוגב,הבית היהודי
62,שולי מועלם-רפאלי,הבית היהודי
63,דוד ביטן,הליכוד
64,יוליה מלינובסקי,ישראל ביתינו
65,דוד אמסלם,הליכוד
66,מרב מיכאלי,המחנה הציוני
67,סתיו שפיר,המחנה הציוני
68,אראל מרגלית,המחנה הציוני
69,איציק שמולי,המחנה הציוני
70,מיקי רוזנטל,המחנה הציוני
71,מיכל בירן,המחנה הציוני
72,משה מזרחי,המחנה הציוני
73,דניאל עטר,המחנה הציוני
74,יוסי יונה,המחנה הציוני
75,אלעזר שטרן,יש עתיד
76,יאיר לפיד,יש עתיד
77,שי פירון,יש עתיד
78,יעל גרמן,יש עתיד
79,מאיר כהן,יש עתיד
80,יעקב פרי,יש עתיד
81,עליזה לביא,יש עתיד
82,עפר שלח,יש עתיד
83,יואל רזבוזוב,יש עתיד
84,קארין אלהרר,יש עתיד
85,מיקי לוי,יש עתיד
86,פנינה תמנו,יש עתיד
87,יעקב אשר,יהדות התורה
88,טלב אבו עראר,הרשימה המשותפת
89,באסל גטאס,הרשימה המשותפת
90,תמר זנדברג,מרצ
91,עיסווי פריג`,מרצ
92,מיכל רוזין,מרצ
93,עמר בר-לב,המחנה הציוני
94,יואב בן צור,"ש""ס"
95,ינון מגל,הבית היהודי
96,בצלאל סמוטריץ`,הבית היהודי
97,ז`קי לוי,הליכוד
98,יואב קיש,הליכוד
99,מכלוף מיקי זוהר,הליכוד
100,ענת ברקו,הליכוד
101,מנואל טרכטנברג,המחנה הציוני
102,רויטל סויד דהאן,המחנה הציוני
103,זוהיר בהלול,המחנה הציוני
104,איתן ברושי,המחנה הציוני
105,קסניה סבטלובה,המחנה הציוני
106,איילת נחמיאס ורבין,המחנה הציוני
107,איימן עודה,הרשימה המשותפת
108,עאידה תומא סלימאן,הרשימה המשותפת
109,עבד אל חכים חאג` יחיא,הרשימה המשותפת
110,יוסף ג`בארין,הרשימה המשותפת
111,אוסאמה סעדיה,הרשימה המשותפת
112,עבדאללה אבו מערוף,הרשימה המשותפת
113,חיים ילין,יש עתיד
114,שרון גל,ישראל ביתינו
115,יואב גלנט,כולנו
116,אלי אלאלוף,כולנו
117,מיכאל אורן,כולנו
118,רחל עזריה,כולנו
119,טלי פלוסקוב,כולנו
120,יפעת שאשא ביטון,כולנו
121,אלי כהן,כולנו
122,רועי פולקמן,כולנו
123,נאוה בוקר,הליכוד
124,אברהם נגוסה,הליכוד
125,נורית קורן,הליכוד
126,ירון מזוז,הליכוד
127,אורן אסף חזן,הליכוד
128,אייל בן ראובן,המחנה הציוני
129,מירב בן ארי,כולנו
130,שרן השכל,הליכוד
131,עודד פורר,ישראל ביתינו
132,כהן-פארן יעל,המחנה הציוני
133,אמיר אוחנה,הליכוד
134,יגאל גואטה,"ש""ס"
135,יהודה גליק,הליכוד
136,מלכיאלי מיכאל,"ש""ס"
137,ג`מעה אזברגה,הרשימה המשותפת
138,סעיד אלחרומי,הרשימה המשותפת
139,דן סידה,"ש""ס"
140,סאלח סעד,המחנה הציוני
141,לאה פדידה,המחנה הציוני
142,יוסף עטאונה,הרשימה המשותפת
143,ואאל יונס,הרשימה המשותפת
144,ינון אזולאי,"ש""ס"
145,ניבין אבו רחמון,הרשימה המשותפת
146,אוסנת הילה מארק,הליכוד
